Tab,ทำแล้ว,Item Code,ตำแหน่ง,Description,Trade Name,Common Name,Route,หน่วยการใช้งาน,Frequency/Rate,Note,Unit,Receipt Category,Alert Min,Alert Max,Formula,Sell Price,Rx Default,Status,Category
น้ำเกลือ,,020000000108,1,Biocat (inj),(Tx) Biocat(inj),(Tx) Biocat(inj),SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 30.00; 0.51-1 = 50.00; 1.01-2 = 80.00; 2.01-3 = 100.00; 3.01-4 = 100.00; 4.01-10 = 100.00,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,020000000057,1,Fercobsang (inj.),Fercobsang,Fercobsang (inj.),SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 50.00; 0.51-1 = 80.00; 1.01-1.5 = 120.00; 1.51-2 = 160.00; 2.01-3 = 200.00,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,030000000019,1,ค่าใช้บริการเครื่องให้น้ำเกลืออัตโนมัติ (Infusion pump),ค่าใช้บริการเครื่องให้น้ำเกลืออัตโนมัติ (Infusion pump),ค่าใช้บริการเครื่องให้น้ำเกลืออัตโนมัติ (Infusion pump),,ครั้ง,,,ครั้ง,ค่าหัตถการ,0.0,0.0,A - Unit price,50.00 / ครั้ง; 50.00 / ครั้ง,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,030000000094,2,ค่าใช้บริการเครื่องให้น้ำเกลืออัตโนมัติ (Infusion pump)**24hr**,(Infusion pump)**24hr**,ค่าใช้บริการเครื่องให้น้ำเกลืออัตโนมัติ (Infusion pump)**24hr**,,ครั้ง,,,ครั้ง,วัสดุการแพทย์,0,0,A - Unit price,100.00 / ครั้ง,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,030000000026,1,ค่าแก้น้ำเกลือ,ค่าแก้น้ำเกลือ,ค่าแก้น้ำเกลือ,,ครั้ง,,,ครั้ง,ค่าหัตถการ,0.0,0.0,A - Unit price,20.00 / ครั้ง; 20.00 / ครั้ง,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000167,1,ขายยกขวด Dextrose 5% in Str.water 1000 ml (D5W 1000 ml),(Tx) ขายยกขวด Dextrose 5% in Str.water 1000 ml (D5W 1000 ml),(Tx) ขายยกขวด Dextrose 5% in Str.water 1000 ml (D5W 1000 ml),IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,150.00 / ขวด,ไม่มี,Active,น้ำเกลือ IV / SC
น้ำเกลือ,,050000000133,1,Lcatate Ringer's 1000 ml (LRI 1000 ml),Lcatate Ringer's 1000 ml (LRI 1000 ml),Lcatate Ringer's 1000 ml (LRI 1000 ml),IV,ขวด,Rate    ml/hr,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-300 = 80.00; 300.01-500 = 100.00; 500.01-800 = 120.00; 800.01-1000 = 150.00,ไม่มี,Active,น้ำเกลือ IV / SC
ยาฉีด,,020000000006,1,Enrofloxacin 5% (Baytril 5%) (inj.),Baytril inj 5%,,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 100.00; 1.01-1.5 = 120.00; 1.51-10 = 150.00,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,020000000102,1,Enrofloxacin 100 mg/ml (Inj) (Syvaquinol),(Tx) Enrofloxacin (Syvaquinol) 100 mg/ml (Inj),(Tx) Enrofloxacin (Syvaquinol) 100 mg/ml (Inj),SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 60.00; 1.01-1.5 = 100.00; 1.51-2 = 100.00; 2.01-10 = 150.00,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,010000000001,1,Novaclav (Amoxicillin 140 mg + Calvulanic 35 mg),Novaclav 100 ml,Novaclav 100 ml,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 100.00; 1.01-1.5 = 120.00; 1.51-10 = 150.00,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,020000000010,1,Marbofloxacin 2% (Marbocyl 2 %) (inj.),Marbocyl 2 %,,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 100.00; 1.01-1.5 = 120.00; 1.51-10 = 150.00,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,020000000011,1,Metronidazole (Metrolex) (inj.),Metrolex inj,,IV /CRI,ซีซี,Rate    ml/hr,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-20 = 100.00; 20.01-30 = 150.00; 30.01-40 = 200.00; 40.01-100 = 250.00,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,010000000303,1,Tx: Meropenem 1g.,Tx: Meropenem 1g.,Tx: Meropenem 1g.,IV,ขวด,,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,300.00 / ขวด,มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,020000000127,1,convenia (cefovecin sodium 80 mg./ml),convenia (cefovecin sodium 80 mg./ml),convenia (cefovecin sodium 80 mg./ml),SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,"0.01-0.3 = 300.00; 0.31-0.5 = 500.00; 0.51-0.8 = 700.00; 0.81-1 = 900.00; 1.01-1.5 = 1,250.00; 1.51-2 = 1,600.00; 2.01-2.5 = 1,950.00; 2.51-3 = 2,300.00; 3.01-3.5 = 2,650.00; 3.51-4 = 3,000.00; 4.01-4.5 = 3,350.00; 4.51-5 = 3,700.00; 5.01-5.5 = 4,050.00; 5.51-6 = 4,400.00; 6.01-6.5 = 4,750.00; 6.51-7 = 5,100.00; 7.01-7.5 = 5,450.00",ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,020000000131,1,Amoxicillin 500 mg + Clavulanate 100 mg (cavumox 0.6g) (inj)IV,Amoxicillin 500 mg + Clavulanate 100 mg (cavumox 0.6g) (inj),(cavumox 0.6g) (inj),IV,ขวด,,,ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,300.00 / ขวด,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,020000000016,1,Rimadyl (Carprofen),Rimadyl injection,,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 60.00; 0.51-1 = 100.00; 1.01-1.5 = 150.00; 1.51-2 = 200.00; 2.01-3 = 250.00; 3.01-4 = 300.00,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
ยาฉีด,,010000000315,1,Onsior 20mg/ml Inj  SC,,Onsior 20mg/ml Inj  SC,SC,ซีซี,,,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.5 = 80.00; 0.51-1 = 120.00; 1.01-1.5 = 180.00; 1.51-2 = 240.00; 2.01-2.5 = 300.00; 2.51-3 = 360.00; 3.01-3.5 = 420.00; 3.51-4 = 480.00; 4.01-4.5 = 540.00; 4.51-5 = 600.00,ไม่มี,Active,ยาฉีดที่ใช้บ่อย
