Item Code,Base Code,Tag,Route,Dose,Frequency,Note
020000000112,,ยาฉุกเฉิน,slow IV,ขวด,,ผสมในน้ำเกลือ drip iv
020000000113,,ยาฉุกเฉิน,slow IV,ขวด,,ผสมในน้ำเกลือ drip iv
020000000027,,ยาฉุกเฉิน,IV,ซีซี,,dilute iv
020000000029,,ยาฉุกเฉิน,IV,ซีซี,,dilute iv
020000000031,,ยาฉุกเฉิน,slow IV,ซีซี,,
020000000052,,ยาฉุกเฉิน,slow IV,ซีซี,,ผสมในน้ำเกลือ drip iv
020000000050,,ยาฉุกเฉิน,CRI,ซีซี,,PO
030000000018,,ยาฉุกเฉิน|สัตว์ป่วยใน,,ครั้ง,,
030000000017,,ยาฉุกเฉิน|สัตว์ป่วยใน,,ครั้ง,,
030000000083,,ยาฉุกเฉิน|สัตว์ป่วยใน,,ครั้ง,,
030000000023,,ยาฉุกเฉิน,,ครั้ง,,
030000000021,,ยาฉุกเฉิน,,ครั้ง,,
030000000006,,สัตว์ป่วยใน,,กิโลกรัม,,
030000000008,,สัตว์ป่วยใน,,ครั้ง,,
100000000002,,สัตว์ป่วยใน,,ครั้ง,,
030000000028,,สัตว์ป่วยใน,,คืน,,
030000000029,,สัตว์ป่วยใน,,ชั่วโมง,,
050000000165,,สัตว์ป่วยใน,,อัน,,
080000000015,,สัตว์ป่วยใน,,ครั้ง,,
050000000050,,สัตว์ป่วยใน,,แผ่น,,
050000000051,,สัตว์ป่วยใน,,แผ่น,,
090000000030,,สัตว์ป่วยใน,,กระป๋อง,,
090000000034,,สัตว์ป่วยใน,,กระป๋อง,,
090000000035,,สัตว์ป่วยใน,,กระป๋อง,,
980000000003,,สัตว์ใหญ่,,บาท,,
980000000004,,สัตว์ใหญ่,,บาท,,
980000000002,,สัตว์ใหญ่,,บาท,,
990000000007,,สัตว์ใหญ่,,บาท,,
030000000086,,สัตว์ใหญ่,,บาท,,
030000000080,,สัตว์ใหญ่,,บาท,,
990000000003,,อื่นๆ,,บาท,,
990000000002,,อื่นๆ,,บาท,,
990000000001,,อื่นๆ,,บาท,,
990000000004,,อื่นๆ,,บาท,,
990000000005,,อื่นๆ,,บาท,,
