Item Code(รหัส),Description(ชื่อยา/บริการ),Trade Name(ชื่อการค้า),Common Name(ชื่อใช้เรียกบ่อย),Unit(หน่วยนับ),Receipt Category(หมวดใบเสร็จ),Alert Min,Alert Max,Formula,Sell Price(ราคาขาย),Rx Default,Status
'020000000124,วางยาสลบแมวด้วยยาฉีด,วางยาสลบแมวด้วยยาฉีด,วางยาสลบแมวด้วยยาฉีด,กิโลกรัม,ค่ายาฉีด / สารน้ำ,0.0,0.0,B - Range price,1-5 = 300.00; 5.01-10 = 350.00; 1-5 = 300.00; 5.01-10 = 350.00,ไม่มี,Active
'020000000125,วางยาสลบสุนัขด้วยยาฉีด,วางยาสลบสุนัขด้วยยาฉีด,วางยาสลบสุนัขด้วยยาฉีด,กิโลกรัม,ค่ายาฉีด / สารน้ำ,0.0,0.0,B - Range price,0.01-10 = 400.00; 10.01-20 = 450.00; 20.01-40 = 500.00; 40.01-80 = 550.00; 0.01-10 = 400.00; 10.01-20 = 450.00; 20.01-40 = 500.00; 40.01-80 = 550.00,ไม่มี,Active
'020000000126,ondansetron(onsia),ondansetron(onsia),,ซีซี,ค่ายาฉีด / สารน้ำ,0.0,0.0,B - Range price,0.01-0.5 = 50.00; 0.51-1 = 80.00; 1.01-2 = 140.00; 2.01-3 = 180.00; 3.01-4 = 220.00; 4.01-5 = 260.00; 5.01-6 = 300.00,ไม่มี,Active
'020000000127,convenia (cefovecin sodium 80 mg./ml),convenia (cefovecin sodium 80 mg./ml),convenia (cefovecin sodium 80 mg./ml),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,"0.01-0.3 = 300.00; 0.31-0.5 = 500.00; 0.51-0.8 = 700.00; 0.81-1 = 900.00; 1.01-1.5 = 1,250.00; 1.51-2 = 1,600.00; 2.01-2.5 = 1,950.00; 2.51-3 = 2,300.00; 3.01-3.5 = 2,650.00; 3.51-4 = 3,000.00; 4.01-4.5 = 3,350.00; 4.51-5 = 3,700.00; 5.01-5.5 = 4,050.00; 5.51-6 = 4,400.00; 6.01-6.5 = 4,750.00; 6.51-7 = 5,100.00; 7.01-7.5 = 5,450.00",ไม่มี,Active
'020000000128,ชุดทดสอบโรคฉี่หนู (Leptospirosis testkit),(Tx) ชุดทดสอบโรคฉี่หนู (Leptospirosis testkit),(Tx) ชุดทดสอบโรคฉี่หนู (Leptospirosis testkit),ตัวอย่าง,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,800.00 / ตัวอย่าง,ไม่มี,Active
'020000000129,atipam (atipamezole),atipam (atipamezole),atipam (atipamezole),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.3 = 300.00; 0.31-0.6 = 400.00; 0.61-1 = 500.00,ไม่มี,Active
'020000000130,medetomidine (sedator),medetomidine (sedator),medetomidine (sedator),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,B - Range price,0.01-0.3 = 300.00; 0.31-0.6 = 400.00; 0.61-1 = 500.00,ไม่มี,Active
'020000000131,Amoxicillin 500 mg + Clavulanate 100 mg (cavumox 0.6g) (inj)IV,Amoxicillin 500 mg + Clavulanate 100 mg (cavumox 0.6g) (inj),(cavumox 0.6g) (inj),ขวด,ค่ายาฉีด / สารน้ำ,0,0,A - Unit price,300.00 / ขวด,ไม่มี,Active
'020000000134,dimenhydrinate(divomit),dimenhydrinate(divomit),dimenhydrinate(divomit),ซีซี,ค่ายาฉีด / สารน้ำ,0,0,C - Divide factor price,50.00 / 1,ไม่มี,Active
'020000000136,virbagen injection (TX),(Tx) virbagen injection,(Tx) virbagen injection,ซีซี,ค่ายาฉีด / สารน้ำ,0,0,C - Divide factor price,250.00 / 0.05,ไม่มี,Active
'020000000137,vet scan: Prep profile II,Prep profile II,Prep profile II,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,350.00 / Test,ไม่มี,Active
'020000000139,vet scan:kidney profile,kidney profile,kidney profile,Test,ค่าตรวจทางห้องปฎิบัติการ,0,0,A - Unit price,550.00 / Test,ไม่มี,Active
